Ano,43001 regiao 01  Verdes Campos,43002 regiao 02  Entre Rios,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43005 regiao 05  Bons Ventos,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43010 regiao 10  Capital e Vale do Gravatai,43015 regiao 15  Caminho das Aguas,Total
2013,,,,,13,,44,1,4,1,63
2014,,,,,29,,27,13,3,2,74
2015,,,1,,11,,28,14,5,2,61
2016,,,,,14,,37,14,4,6,75
2017,,1,,,20,,25,11,21,8,86
2018,,,1,,15,,32,11,24,10,93
2019,1,,,,18,1,22,17,84,10,153
2020,,3,,,27,,31,18,90,14,183
2021,,,,,26,,20,21,103,12,182
2022,2,,,9,25,,24,20,108,9,197
2023,,1,,2,14,,14,8,100,4,143
