Ano,43001 regiao 01  Verdes Campos,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43005 regiao 05  Bons Ventos,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43009 regiao 09  Carbonifera Costa Doce,43010 regiao 10  Capital e Vale do Gravatai,43011 regiao 11  Sete Povos das Missoes,43012 regiao 12  Portal das Missoes,43013 regiao 13  Diversidade,43014 regiao 14  Fronteira Noroeste,43015 regiao 15  Caminho das Aguas,43016 regiao 16  Alto Uruguai Gaucho,43017 regiao 17  Planalto,43021 regiao 21  Sul,43022 regiao 22  Pampa,43023 regiao 23  Caxias e Hortensias,43025 regiao 25  Vinhedos e Basalto,43026 regiao 26  Uva Vale,43028 regiao 28  Vinte e Oito,43029 regiao 29  Vales e Montanhas,Total
2013,,5,1,3,,4,,,11.3,,,39,,,,35,3.5,,,11,7,,,11.1
2014,,11.7,,,,,6,,12.3,,7,,7.5,,,,,,4,,,3.5,,12
2015,2,12.3,9.3,4,,,5,,11.8,,,,,,,,2,,2.5,2.9,,,,11
2016,,,4.5,5,,,5.5,,11.4,,2,8,1.7,,,1,,3,68,,6,,,11.1
2017,15,7,,,,,6.8,10,11.9,,4,3,9.5,,3,4.8,,,,,2,3,3,11.5
2018,27.5,4.1,1,3,8,,,,13,1,1,3,0.3,4,,14,,5,,,,3,,12.2
2019,2,4.3,,2,3,,3,,10.4,8,,,15,,2,,,4,,,1,,,10
2020,15.5,2,,,,1,3,,11.6,16,4,4,,,,7.8,,,,,,,,11.3
2021,16,9,1,,11,,,9,11.2,,10,3,4,,,2.5,,,,,1.7,,,10.1
2022,,11,1,,,,,,11.2,1,,,2.5,,,7,,,,,,,,10.8
2023,,8,,,,,,,10.2,,,2.5,2,,3,,15,6,,,,,,10
