Ano,43001 regiao 01  Verdes Campos,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43009 regiao 09  Carbonifera Costa Doce,43010 regiao 10  Capital e Vale do Gravatai,43011 regiao 11  Sete Povos das Missoes,43012 regiao 12  Portal das Missoes,43013 regiao 13  Diversidade,43014 regiao 14  Fronteira Noroeste,43015 regiao 15  Caminho das Aguas,43016 regiao 16  Alto Uruguai Gaucho,43017 regiao 17  Planalto,43019 regiao 19  Botucarai,43020 regiao 20  Rota da Producao,43021 regiao 21  Sul,43022 regiao 22  Pampa,43023 regiao 23  Caxias e Hortensias,43025 regiao 25  Vinhedos e Basalto,43026 regiao 26  Uva Vale,43027 regiao 27  Jacui Centro,43028 regiao 28  Vinte e Oito,43029 regiao 29  Vales e Montanhas,Total
2013,,12.5,,,,6,,11,12,15.3,2,3.8,2,7,,,,,,16.5,9,3,4,2.5,,10.6
2014,,4,,,,12,,9.4,5.5,7.7,,2.3,,3,6,,,,4,6,7.5,,,,18,8.7
2015,,2,,6,20,9,,9.3,8,7.2,,1,1,2,9,23,,,,10.8,2,,,0.5,,9.2
2016,,4.1,1,3,6,20,,9.8,,8.7,2.5,,5.5,,5.5,,,,,14.4,3.6,,,,,9.2
2017,4,4,4,,,0.7,1,9.8,,6,4.5,2.7,4.7,3,,,,,,5.8,1,,,3,3,8.6
2018,6,2,0.5,,,2,,11.4,,20.2,8,,5.3,3.5,1,2,7,,,13.1,1.5,3,,1,,9.8
2019,5,7.5,0.5,,,2,,9.2,,16.3,4,4,4.6,2,,6,,2,,13.3,2.1,,,3,,8.8
2020,2.5,4,2.5,1,1,,,8.9,,3,2,2.2,4,2.7,1,,,,,8,1.3,,,,,7.1
2021,11,3,1.4,,,,1,10.1,,4.5,8,6.5,7.2,,5,,9,,,7,1.3,,,4,,7.9
2022,,5.3,1.7,,,,,10.6,,2.5,3,1.7,4.5,2,,,2,,,8.4,1.5,6,,,,8.6
2023,3,1.5,1.6,3,,3.5,,8.8,,,6.7,3,5,,10.5,,5,18,,6.2,1.9,,,,,7.2
