Ano,43001 regiao 01  Verdes Campos,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43009 regiao 09  Carbonifera/Costa Doce,43010 regiao 10  Capital e Vale do Gravatai,43011 regiao 11  Sete Povos das Missoes,43012 regiao 12  Portal das Missoes,43013 regiao 13  Diversidade,43014 regiao 14  Fronteira Noroeste,43015 regiao 15  Caminho das Aguas,43016 regiao 16  Alto Uruguai Gaucho,43017 regiao 17  Planalto,43019 regiao 19  Botucarai,43020 regiao 20  Rota da Producao,43021 regiao 21  Sul,43022 regiao 22  Pampa,43023 regiao 23  Caxias e Hortensias,43025 regiao 25  Vinhedos e Basalto,43026 regiao 26  Uva Vale,43027 regiao 27  Jacui Centro,43028 regiao 28  Vinte e Oito,43029 regiao 29  Vales e Montanhas,Total
2013,,2,,,,2,,79,3,3,1,4,1,2,,,,,,11,1,4,1,2,,116
2014,,2,1,,,1,,123,2,6,,3,,2,1,,,,1,10,4,,,,1,157
2015,,1,,1,1,1,,188,1,6,,2,1,1,1,1,,,,21,2,,,2,,230
2016,,18,1,1,1,1,,170,,3,2,,2,2,2,,,,,16,5,,,1,,225
2017,1,2,1,,,3,2,145,,1,6,3,3,1,,,,,,5,5,,,1,1,180
2018,1,2,2,,,2,,123,,5,1,4,6,2,1,1,2,,,9,12,1,,1,,175
2019,3,2,2,,,1,,138,,6,1,1,5,1,,1,1,1,,16,10,,,1,,190
2020,2,2,13,1,1,,,106,,1,2,5,6,3,1,,,,,25,8,,,,,176
2021,1,2,16,,,,1,101,,2,1,2,5,,3,,1,,,25,7,,,3,,170
2022,,4,7,,,,,84,,2,3,3,2,1,,,1,,,14,4,3,,,,128
2023,2,2,8,1,,2,,86,,,3,5,3,,2,,1,1,,11,7,,,,,134
