Regiao,Total
43001 regiao 01  Verdes Campos,5.3
43002 regiao 02  Entre Rios,3.7
43003 regiao 03  Fronteira Oeste,5.6
43004 regiao 04  Belas Praias,3.4
43005 regiao 05  Bons Ventos,4.5
43006 regiao 06  Vale do Paranhana e Costa Serra,6.1
43007 regiao 07  Vale dos Sinos,4.4
43008 regiao 08  Vale do Cai e Metropolitana,5.2
43009 regiao 09  Carbonifera Costa Doce,3.3
43010 regiao 10  Capital e Vale do Gravatai,11
43011 regiao 11  Sete Povos das Missoes,6.9
43012 regiao 12  Portal das Missoes,8.8
43013 regiao 13  Diversidade,5.5
43014 regiao 14  Fronteira Noroeste,3
43015 regiao 15  Caminho das Aguas,4
43016 regiao 16  Alto Uruguai Gaucho,3.2
43017 regiao 17  Planalto,5.6
43018 regiao 18  Araucarias,3.1
43019 regiao 19  Botucarai,2.8
43020 regiao 20  Rota da Producao,5.3
43021 regiao 21  Sul,6.5
43022 regiao 22  Pampa,4
43023 regiao 23  Caxias e Hortensias,9.8
43024 regiao 24  Campos de Cima da Serra,5.7
43025 regiao 25  Vinhedos e Basalto,3.2
43026 regiao 26  Uva Vale,3.6
43027 regiao 27  Jacui Centro,3.1
43028 regiao 28  Vinte e Oito,3.2
43029 regiao 29  Vales e Montanhas,3.4
43030 regiao 30  Vale da Luz,6.1
