 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Média permanência por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43002 Região 02 - Entre Rios";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43018 Região 18 - Araucárias";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43024 Região 24 - Campos de Cima da Serra";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"43030 Região 30 - Vale da Luz";"Total"
"2013";5,0;2,8;2,0;...;3,9;7,0;4,8;4,0;...;7,0;...;...;19,0;2,3;4,3;...;2,7;4,4;2,0;...;9,6;...;...;...;4,3;4,0;4,1;3,5;9,3;...;4,7
"2014";4,9;2,7;10,0;9,0;4,2;5,8;5,0;6,4;...;7,6;...;...;6,0;3,6;3,8;2,5;3,8;5,2;...;...;8,8;2,0;...;...;3,7;3,9;2,9;3,4;3,3;...;4,9
"2015";5,0;5,3;4,0;1,0;4,3;16,0;4,3;5,5;...;7,4;...;6,8;4,0;2,1;4,3;...;5,0;2,8;...;3,0;7,0;...;...;...;2,5;4,5;3,3;3,3;2,7;...;4,6
"2016";4,0;3,9;4,5;...;4,7;10,7;4,3;5,3;1,0;6,8;...;...;...;2,6;4,4;...;3,0;4,0;...;...;5,8;...;2,0;...;3,0;3,3;3,1;2,7;2,6;...;4,5
"2017";4,7;2,8;3,0;0,3;4,5;2,9;4,2;6,1;...;7,1;...;...;...;2,5;3,4;...;10,0;...;...;...;6,6;...;...;...;3,6;3,2;3,0;2,9;3,5;...;4,6
"2018";3,8;3,5;7,2;5,7;5,0;3,3;4,2;5,2;...;7,5;...;2,0;2,0;5,0;3,5;...;...;2,5;2,0;...;2,8;...;5,8;...;3,9;4,2;2,9;3,0;3,8;...;4,7
"2019";6,0;3,2;1,7;...;5,1;6,2;4,4;5,4;...;11,1;3,0;8,0;...;...;3,6;4,0;7,7;2,3;1,4;...;2,4;...;3,0;...;5,1;4,0;3,8;3,0;2,8;...;6,1
"2020";2,7;2,5;...;...;4,8;6,3;3,9;4,2;...;11,0;...;2,0;3,0;6,8;4,3;7,0;11,0;2,2;2,7;9,0;4,6;...;8,0;...;3,1;3,0;2,9;3,5;3,8;5,5;5,6
"2021";6,9;2,8;1,0;2,5;4,0;3,0;3,6;4,7;6,5;11,7;...;3,5;...;4,3;4,4;...;1,7;2,3;2,2;...;18,5;...;2,0;...;2,7;3,3;2,2;3,6;3,8;5,6;5,4
"2022";3,6;3,4;...;3,2;4,3;28,3;4,1;5,4;1,0;15,4;...;...;1,0;1,5;4,4;...;6,6;3,0;4,0;...;3,6;...;4,0;1,0;2,7;1,5;3,3;3,4;2,7;4,3;6,1
"2023";4,4;5,1;...;5,5;4,6;2,7;5,5;4,3;2,0;15,1;3,0;...;...;2,0;3,8;5,0;2,3;4,3;2,4;...;5,5;...;3,5;8,0;3,0;1,8;1,9;3,1;3,5;7,6;6,8
"Total";4,6;3,7;4,7;3,6;4,5;6,2;4,4;5,2;2,7;11,0;3,0;5,6;5,8;2,9;4,0;4,2;4,9;3,1;2,6;6,0;6,5;2,0;4,6;5,7;3,3;3,8;3,1;3,2;3,3;6,1;5,4
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
