 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Internações por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X00-X09 Exposição à fumaça, ao fogo e às chamas
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"Total"
"2013";-;6;1;6;-;1;-;-;286;-;-;1;-;-;-;1;2;-;-;4;1;-;-;309
"2014";-;6;-;-;-;-;2;-;231;-;2;-;2;-;-;-;-;-;1;-;-;2;-;246
"2015";1;4;3;2;-;-;3;-;190;-;-;-;1;-;-;-;1;-;2;8;-;-;-;215
"2016";-;-;2;1;-;-;2;-;194;-;2;1;3;-;-;1;-;1;1;-;3;-;-;211
"2017";1;2;-;-;-;-;5;1;281;-;1;1;2;-;1;4;-;-;-;-;1;1;1;302
"2018";2;7;1;1;1;-;-;-;196;1;1;1;3;1;-;2;-;1;-;-;-;2;-;220
"2019";1;3;-;2;1;-;2;-;186;1;-;-;2;-;1;-;-;1;-;-;1;-;-;201
"2020";2;1;-;-;-;1;1;-;241;1;2;1;1;-;-;4;-;-;-;-;-;-;-;255
"2021";1;2;1;-;1;-;-;1;173;-;1;1;2;-;-;6;-;-;-;-;15;-;-;204
"2022";-;1;2;-;-;1;1;-;180;1;-;-;2;-;-;1;-;-;-;-;-;-;-;189
"2023";-;1;-;-;1;-;-;-;167;-;-;2;1;-;1;-;1;1;-;-;-;-;-;175
"Total";8;33;10;12;4;3;16;2;2325;4;9;8;19;1;3;19;4;4;4;12;21;5;1;2527
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
