 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Óbitos por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X00-X09 Exposição à fumaça, ao fogo e às chamas
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43010 Região 10 - Capital e Vale do Gravataí";"43012 Região 12 - Portal das Missões";"43017 Região 17 - Planalto";"Total"
"2013";-;-;-;24;-;-;24
"2014";-;-;-;8;1;-;9
"2015";-;-;1;12;-;-;13
"2016";-;-;-;11;1;1;13
"2017";-;-;-;16;-;-;16
"2018";-;1;-;11;1;-;13
"2019";1;-;-;21;-;-;22
"2020";-;-;-;14;1;1;16
"2021";-;-;-;14;-;1;15
"2022";-;-;-;17;-;-;17
"2023";-;-;-;14;-;-;14
"Total";1;1;1;162;4;3;172
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
