 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Média permanência por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X10-X19 Contato fonte de calor e subst quentes
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"Total"
"2013";...;12,5;...;...;...;6,0;...;11,0;12,0;15,3;2,0;3,8;2,0;7,0;...;...;...;...;...;16,5;9,0;3,0;4,0;2,5;...;10,6
"2014";...;4,0;-;...;...;12,0;...;9,4;5,5;7,7;...;2,3;...;3,0;6,0;...;...;...;4,0;6,0;7,5;...;...;...;18,0;8,7
"2015";...;2,0;...;6,0;20,0;9,0;...;9,3;8,0;7,2;...;1,0;1,0;2,0;9,0;23,0;...;...;...;10,8;2,0;...;...;0,5;...;9,2
"2016";...;4,1;1,0;3,0;6,0;20,0;...;9,8;...;8,7;2,5;...;5,5;-;5,5;...;...;...;...;14,4;3,6;...;...;-;...;9,2
"2017";4,0;4,0;4,0;...;...;0,7;1,0;9,8;...;6,0;4,5;2,7;4,7;3,0;...;...;...;...;...;5,8;1,0;...;...;3,0;3,0;8,6
"2018";6,0;2,0;0,5;...;...;2,0;...;11,4;...;20,2;8,0;-;5,3;3,5;1,0;2,0;7,0;...;...;13,1;1,5;3,0;...;1,0;...;9,8
"2019";5,0;7,5;0,5;...;...;2,0;...;9,2;...;16,3;4,0;4,0;4,6;2,0;...;6,0;-;2,0;...;13,3;2,1;...;...;3,0;...;8,8
"2020";2,5;4,0;2,5;1,0;1,0;...;...;8,9;...;3,0;2,0;2,2;4,0;2,7;1,0;...;...;...;...;8,0;1,3;...;...;...;...;7,1
"2021";11,0;3,0;1,4;...;...;...;1,0;10,1;...;4,5;8,0;6,5;7,2;...;5,0;...;9,0;...;...;7,0;1,3;...;...;4,0;...;7,9
"2022";...;5,3;1,7;...;...;...;...;10,6;...;2,5;3,0;1,7;4,5;2,0;...;...;2,0;...;...;8,4;1,5;6,0;...;...;...;8,6
"2023";3,0;1,5;1,6;3,0;...;3,5;...;8,8;...;...;6,7;3,0;5,0;...;10,5;...;5,0;18,0;...;6,2;1,9;...;...;...;...;7,2
"Total";4,7;4,4;1,7;3,3;9,0;5,2;1,0;9,8;9,2;10,9;4,3;2,5;4,9;2,9;5,8;10,3;5,0;10,0;4,0;9,9;2,2;4,1;4,0;2,3;10,5;8,7
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
