 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Internações por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr, X00-X09 Exposição à fumaça, ao fogo e às chamas, X10-X19 Contato fonte de calor e subst quentes
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43002 Região 02 - Entre Rios";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43018 Região 18 - Araucárias";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43024 Região 24 - Campos de Cima da Serra";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"43030 Região 30 - Vale da Luz";"Total"
"2013";2;32;10;1;598;3;1427;46;-;650;3;3;3;7;242;2;10;40;2;-;19;-;11;-;18;30;43;252;3;-;3457
"2014";8;31;10;2;578;5;1280;379;-;564;2;8;1;13;330;4;5;39;-;-;43;2;11;-;32;18;17;307;5;-;3694
"2015";3;18;8;4;377;3;1262;532;-;660;1;10;1;19;490;1;12;29;1;1;28;-;23;-;63;26;32;378;6;-;3988
"2016";4;32;20;3;470;4;1310;444;1;624;-;5;3;19;628;2;4;2;-;-;34;1;18;-;68;27;19;372;9;-;4123
"2017";9;42;5;5;517;7;1285;311;3;986;-;2;7;13;595;2;6;-;-;-;34;-;5;-;77;7;34;328;4;-;4284
"2018";12;56;14;6;539;7;1067;356;-;1062;1;7;3;8;589;2;3;91;3;2;11;1;14;-;89;6;29;413;5;-;4396
"2019";17;51;8;2;567;14;1032;573;-;1605;3;9;1;3;736;3;7;108;21;1;13;1;17;-;62;5;21;377;10;-;5267
"2020";18;58;3;13;691;11;1047;563;-;1393;1;4;4;10;776;4;6;105;30;1;26;-;26;-;60;1;25;371;31;2;5280
"2021";21;37;5;34;881;9;1075;587;4;1252;-;5;2;7;680;-;12;119;39;1;2;-;26;-;89;19;37;388;45;22;5398
"2022";25;88;5;356;844;4;1102;642;1;1255;1;2;4;9;789;1;6;165;27;1;10;-;15;1;95;5;33;471;76;3;6036
"2023";12;176;3;100;626;17;606;477;6;1177;1;-;5;8;546;2;5;152;18;1;4;1;13;2;47;4;19;265;59;12;4364
"Total";131;621;91;526;6688;84;12493;4910;15;11228;13;55;34;116;6401;23;76;850;141;8;224;6;179;3;700;148;309;3922;253;39;50287
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
