 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Internações por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr, X00-X09 Exposição à fumaça, ao fogo e às chamas, X10-X19 Contato fonte de calor e subst quentes
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43002 Região 02 - Entre Rios";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43018 Região 18 - Araucárias";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43024 Região 24 - Campos de Cima da Serra";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"43030 Região 30 - Vale da Luz";"Total"
"2013";1;30;7;1;583;2;1377;46;-;531;1;3;2;6;236;2;10;35;2;-;15;-;8;-;18;25;36;239;3;-;3219
"2014";8;31;6;2;555;3;1236;363;-;444;2;8;1;13;328;2;5;34;-;-;38;1;5;-;27;14;16;280;5;-;3427
"2015";3;17;5;3;362;3;1213;498;-;524;1;9;1;18;485;1;12;28;1;1;27;-;17;-;58;17;30;352;6;-;3692
"2016";3;31;19;3;456;4;1265;427;-;509;-;4;3;19;621;2;4;2;-;-;27;1;14;-;62;21;17;355;9;-;3878
"2017";8;41;5;4;462;7;1246;284;3;707;-;2;5;13;587;2;6;-;-;-;32;-;2;-;74;2;32;309;4;-;3837
"2018";11;54;12;6;476;4;1041;335;-;768;1;7;3;8;574;2;3;83;3;1;8;1;13;-;86;6;26;407;5;-;3944
"2019";16;46;8;2;489;11;998;541;-;1219;3;8;1;3;724;3;6;100;21;1;11;1;12;-;57;5;19;360;10;-;4675
"2020";18;53;3;12;624;10;1004;531;-;1086;1;4;4;10;765;4;6;100;30;1;25;-;22;-;54;-;22;347;30;2;4768
"2021";20;34;3;32;786;8;1039;556;3;990;-;4;2;7;657;-;9;115;39;1;2;-;22;-;81;19;36;360;44;22;4891
"2022";24;84;4;332;759;3;1071;600;1;990;1;2;4;8;772;1;4;156;26;1;9;-;13;1;86;5;32;431;73;3;5496
"2023";10;174;2;90;571;14;584;434;6;922;1;-;4;7;531;2;5;141;18;1;4;1;11;2;43;4;19;251;56;12;3920
"Total";122;595;74;487;6123;69;12074;4615;13;8690;11;51;30;112;6280;21;70;794;140;7;198;5;139;3;646;118;285;3691;245;39;45747
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
