 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Média permanência por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X00-X09 Exposição à fumaça, ao fogo e às chamas
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"Total"
"2013";...;5,0;1,0;3,0;...;4,0;...;...;11,3;...;...;39,0;...;...;...;35,0;3,5;...;...;11,0;7,0;...;...;11,1
"2014";...;11,7;...;...;...;...;6,0;...;12,3;...;7,0;...;7,5;...;...;...;...;...;4,0;...;...;3,5;...;12,0
"2015";2,0;12,3;9,3;4,0;...;...;5,0;...;11,8;...;...;...;-;...;...;...;2,0;...;2,5;2,9;...;...;...;11,0
"2016";...;...;4,5;5,0;...;...;5,5;...;11,4;...;2,0;8,0;1,7;...;...;1,0;...;3,0;68,0;...;6,0;...;...;11,1
"2017";15,0;7,0;...;...;...;...;6,8;10,0;11,9;...;4,0;3,0;9,5;...;3,0;4,8;...;...;...;...;2,0;3,0;3,0;11,5
"2018";27,5;4,1;1,0;3,0;8,0;...;...;...;13,0;1,0;1,0;3,0;0,3;4,0;...;14,0;...;5,0;...;...;...;3,0;...;12,2
"2019";2,0;4,3;...;2,0;3,0;...;3,0;...;10,4;8,0;...;...;15,0;...;2,0;...;...;4,0;...;...;1,0;...;...;10,0
"2020";15,5;2,0;...;...;...;1,0;3,0;...;11,6;16,0;4,0;4,0;-;...;...;7,8;...;...;...;...;...;...;...;11,3
"2021";16,0;9,0;1,0;...;11,0;...;...;9,0;11,2;...;10,0;3,0;4,0;...;...;2,5;...;...;...;...;1,7;...;...;10,1
"2022";...;11,0;1,0;...;...;-;-;...;11,2;1,0;...;...;2,5;...;...;7,0;...;...;...;...;...;...;...;10,8
"2023";...;8,0;...;...;-;...;...;...;10,2;...;...;2,5;2,0;...;3,0;...;15,0;6,0;...;...;...;...;...;10,0
"Total";15,1;7,4;4,2;3,2;5,5;1,7;5,1;9,5;11,5;6,5;4,6;8,1;4,5;4,0;2,7;7,2;6,0;4,5;19,3;5,6;2,6;3,2;3,0;11,1
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
