 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Internações por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43002 Região 02 - Entre Rios";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43018 Região 18 - Araucárias";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43024 Região 24 - Campos de Cima da Serra";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"43030 Região 30 - Vale da Luz";"Total"
"2013";2;32;2;-;592;3;1426;44;-;285;-;-;1;3;241;-;9;40;2;-;17;-;-;-;13;25;42;250;3;-;3032
"2014";8;31;2;1;578;5;1280;376;-;210;-;-;1;8;330;2;4;39;-;-;43;1;-;-;28;18;17;305;4;-;3291
"2015";2;18;3;1;375;2;1261;528;-;282;-;4;1;16;489;-;11;29;-;1;27;-;-;-;53;26;32;376;6;-;3543
"2016";4;32;2;-;469;3;1309;441;1;260;-;-;-;16;626;-;1;2;-;-;34;-;1;-;63;24;19;371;9;-;3687
"2017";7;42;1;4;517;7;1285;303;-;560;-;-;-;8;592;-;2;-;-;-;34;-;-;-;72;6;34;326;2;-;3802
"2018";9;56;5;3;538;6;1067;354;-;743;-;1;1;1;582;-;-;91;2;-;11;-;5;-;77;5;29;410;5;-;4001
"2019";13;51;3;-;565;13;1032;570;-;1281;2;3;-;-;731;1;7;108;20;-;12;-;1;-;52;4;21;376;10;-;4876
"2020";14;58;-;-;691;10;1045;562;-;1046;-;1;1;4;770;1;1;105;30;1;26;-;1;-;52;1;25;371;31;2;4849
"2021";19;37;1;17;881;8;1075;587;2;978;-;2;-;3;675;-;3;119;39;-;2;-;1;-;82;4;37;385;45;22;5024
"2022";25;88;-;347;844;4;1101;641;1;991;-;-;1;4;787;-;5;165;27;-;10;-;1;1;91;2;33;471;76;3;5719
"2023";10;176;-;92;626;15;606;475;6;924;1;-;-;2;543;1;3;152;18;-;2;-;2;2;40;4;19;265;59;12;4055
"Total";113;621;19;465;6676;76;12487;4881;10;7560;3;11;6;65;6366;5;46;850;138;2;218;1;12;3;623;119;308;3906;250;39;45879
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
