 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Internações por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X10-X19 Contato fonte de calor e subst quentes
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43009 Região 09 - Carbonífera/Costa Doce";"43010 Região 10 - Capital e Vale do Gravataí";"43011 Região 11 - Sete Povos das Missões";"43012 Região 12 - Portal das Missões";"43013 Região 13 - Diversidade";"43014 Região 14 - Fronteira Noroeste";"43015 Região 15 - Caminho das Águas";"43016 Região 16 - Alto Uruguai Gaúcho";"43017 Região 17 - Planalto";"43019 Região 19 - Botucaraí";"43020 Região 20 - Rota da Produção";"43021 Região 21 - Sul";"43022 Região 22 - Pampa";"43023 Região 23 - Caxias e Hortênsias";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"Total"
"2013";-;2;-;-;-;2;-;79;3;3;1;4;1;2;-;-;-;-;-;11;1;4;1;2;-;116
"2014";-;2;1;-;-;1;-;123;2;6;-;3;-;2;1;-;-;-;1;10;4;-;-;-;1;157
"2015";-;1;-;1;1;1;-;188;1;6;-;2;1;1;1;1;-;-;-;21;2;-;-;2;-;230
"2016";-;18;1;1;1;1;-;170;-;3;2;-;2;2;2;-;-;-;-;16;5;-;-;1;-;225
"2017";1;2;1;-;-;3;2;145;-;1;6;3;3;1;-;-;-;-;-;5;5;-;-;1;1;180
"2018";1;2;2;-;-;2;-;123;-;5;1;4;6;2;1;1;2;-;-;9;12;1;-;1;-;175
"2019";3;2;2;-;-;1;-;138;-;6;1;1;5;1;-;1;1;1;-;16;10;-;-;1;-;190
"2020";2;2;13;1;1;-;-;106;-;1;2;5;6;3;1;-;-;-;-;25;8;-;-;-;-;176
"2021";1;2;16;-;-;-;1;101;-;2;1;2;5;-;3;-;1;-;-;25;7;-;-;3;-;170
"2022";-;4;7;-;-;-;-;84;-;2;3;3;2;1;-;-;1;-;-;14;4;3;-;-;-;128
"2023";2;2;8;1;-;2;-;86;-;-;3;5;3;-;2;-;1;1;-;11;7;-;-;-;-;134
"Total";10;39;51;4;3;13;3;1343;6;35;20;32;34;15;11;3;6;2;1;163;65;8;1;11;2;1881
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
