 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Óbitos por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43001 Região 01 - Verdes Campos";"43002 Região 02 - Entre Rios";"43003 Região 03 - Fronteira Oeste";"43004 Região 04 - Belas Praias";"43005 Região 05 - Bons Ventos";"43006 Região 06 - Vale do Paranhana e Costa Serra";"43007 Região 07 - Vale dos Sinos";"43008 Região 08 - Vale do Caí e Metropolitana";"43010 Região 10 - Capital e Vale do Gravataí";"43015 Região 15 - Caminho das Águas";"43017 Região 17 - Planalto";"43018 Região 18 - Araucárias";"43019 Região 19 - Botucaraí";"43021 Região 21 - Sul";"43023 Região 23 - Caxias e Hortênsias";"43025 Região 25 - Vinhedos e Basalto";"43026 Região 26 - Uva Vale";"43027 Região 27 - Jacuí Centro";"43028 Região 28 - Vinte e Oito";"43029 Região 29 - Vales e Montanhas";"Total"
"2013";-;-;-;-;13;-;44;1;4;1;-;-;-;2;-;-;1;1;8;-;75
"2014";-;-;-;-;29;-;27;13;3;2;-;1;-;1;-;-;-;-;10;-;86
"2015";-;-;1;-;11;-;28;14;5;2;-;-;-;1;-;1;-;1;5;-;69
"2016";-;-;-;-;14;-;37;14;4;6;-;-;-;-;-;-;-;-;6;-;81
"2017";-;1;-;-;20;-;25;11;21;8;-;-;-;1;-;1;-;-;9;-;97
"2018";-;-;1;-;15;-;32;11;24;10;-;-;-;-;1;2;-;-;13;-;109
"2019";1;-;-;-;18;1;22;17;84;10;-;-;-;1;-;1;-;-;8;-;163
"2020";-;3;-;-;27;-;31;18;90;14;1;1;-;1;-;-;-;-;5;1;192
"2021";-;-;-;-;26;-;20;21;103;12;-;-;2;-;-;-;-;1;10;2;197
"2022";2;-;-;9;25;-;24;20;108;9;-;2;-;-;-;2;-;-;12;-;213
"2023";-;1;-;2;14;-;14;8;100;4;-;-;1;-;-;-;-;-;-;1;145
"Total";3;5;2;11;212;1;304;148;546;78;1;4;3;7;1;7;1;3;86;4;1427
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
