 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul
Óbitos por Ano processamento e Região de Saúde (CIR)
Grupo de Causas: X10-X19 Contato fonte de calor e subst quentes
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Cor/raça: Branca, Preta, Parda
Período:Jan/2013-Ago/2023
"Ano processamento";"43003 Região 03 - Fronteira Oeste";"43010 Região 10 - Capital e Vale do Gravataí";"43013 Região 13 - Diversidade";"43017 Região 17 - Planalto";"43023 Região 23 - Caxias e Hortênsias";"Total"
"2013";-;2;-;-;2;4
"2014";-;4;-;-;-;4
"2015";-;3;-;-;1;4
"2016";-;4;-;-;-;4
"2017";-;2;-;-;1;3
"2018";1;4;1;-;-;6
"2019";-;8;-;-;-;8
"2020";-;1;-;-;1;2
"2021";-;1;-;1;-;2
"2022";-;1;-;-;-;1
"2023";-;3;-;-;-;3
"Total";1;33;1;1;5;41
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
